Rank,NOC,Gold,Silver,Bronze,Total,Year
41,QAT,2,0,1,3,2020
42,BAH,2,0,0,2,2020
42,KOS,2,0,0,2,2020
44,UKR,1,6,12,19,2020
45,AIN,1,3,3,7,2020
46,ROU,1,3,0,4,2020
46,VEN,1,3,0,4,2020
48,IND,1,2,4,7,2020
49,CHK,1,2,3,6,2020
50,PHI,1,2,1,4,2020
50,SVK,1,2,1,4,2020
52,RSA,1,2,0,3,2020
53,AUT,1,1,5,7,2020
54,EGY,1,1,4,6,2020
55,INA,1,1,3,5,2020
56,ETH,1,1,2,4,2020
56,PRT,1,1,2,4,2020
58,TUN,1,1,0,2,2020
59,EST,1,0,1,2,2020
59,FIJ,1,0,1,2,2020
59,LAT,1,0,1,2,2020
59,THA,1,0,1,2,2020
63,BER,1,0,0,1,2020
63,MAR,1,0,0,1,2020
63,PPO,1,0,0,1,2020
66,COL,0,4,1,5,2020
67,AZE,0,3,4,7,2020
68,DOM,0,3,2,5,2020
69,ARM,0,2,2,4,2020
70,KGZ,0,2,1,3,2020
71,MGL,0,1,3,4,2020
72,ARG,0,1,2,3,2020
72,SMR,0,1,2,3,2020
74,JOR,0,1,1,2,2020
74,MAS,0,1,1,2,2020
74,NGA,0,1,1,2,2020
77,BRN,0,1,0,1,2020
77,LTU,0,1,0,1,2020
77,NAM,0,1,0,1,2020
77,MKD,0,1,0,1,2020
77,KSA,0,1,0,1,2020
77,TKM,0,1,0,1,2020
83,KAZ,0,0,8,8,2020
84,MEX,0,0,4,4,2020
85,FIN,0,0,2,2,2020
86,BOT,0,0,1,1,2020
86,BUR,0,0,1,1,2020
86,GHA,0,0,1,1,2020
86,GRN,0,0,1,1,2020
86,ICT,0,0,1,1,2020
86,KUW,0,0,1,1,2020
86,MLA,0,0,1,1,2020
39,BWI,0,0,2,2,1960
1,USA,46,37,38,121,2016
2,GBR,27,23,17,67,2016
3,CHN,26,18,26,70,2016
30,ARG,0,1,1,2,1960
5,GER,17,10,15,42,2016
6,JPN,12,8,21,41,2016
7,FRA,10,18,14,42,2016
8,KOR,9,3,9,21,2016
9,ITA,8,12,8,28,2016
10,AUS,8,11,10,29,2016
11,NED,8,7,4,19,2016
12,HUN,8,3,4,15,2016
13,BRA,7,6,6,19,2016
14,ESP,7,4,6,17,2016
15,KEN,6,6,1,13,2016
16,JAM,6,3,2,11,2016
17,CRO,5,3,2,10,2016
18,CUB,5,2,4,11,2016
19,NZL,4,9,5,18,2016
20,CAN,4,3,15,22,2016
21,UZB,4,2,7,13,2016
22,COL,3,2,3,8,2016
23,CHE,3,2,2,7,2016
24,IRI,3,1,4,8,2016
25,GRE,3,1,2,6,2016
26,ARG,3,1,0,4,2016
27,DEN,2,6,7,15,2016
28,SWE,2,6,3,11,2016
29,RSA,2,6,2,10,2016
30,KAZ,2,5,10,17,2016
31,UKR,2,5,4,11,2016
32,SRB,2,4,2,8,2016
33,POL,2,3,6,11,2016
34,NKA,2,3,2,7,2016
35,BEL,2,2,2,6,2016
35,THA,2,2,2,6,2016
37,SVK,2,2,0,4,2016
38,GEO,2,1,4,7,2016
39,AZE,1,7,10,18,2016
40,AIN,1,4,4,9,2016
41,TUR,1,3,4,8,2016
42,ARM,1,3,0,4,2016
43,CZE,1,2,7,10,2016
44,ETH,1,2,5,8,2016
45,SVN,1,2,1,4,2016
46,INA,1,2,0,3,2016
47,ROU,1,1,2,4,2016
48,BRN,1,1,0,2,2016
5,AUS,8,8,6,22,1960
50,TPE,1,0,2,3,2016
51,BAH,1,0,1,2,2016
39,BRA,0,0,2,2,1960
51,ICT,1,0,1,2,2016
54,FIJ,1,0,0,1,2016
54,JOR,1,0,0,1,2016
54,KOS,1,0,0,1,2016
54,PPO,1,0,0,1,2016
54,SGP,1,0,0,1,2016
54,TJK,1,0,0,1,2016
60,MAS,0,4,1,5,2016
61,MEX,0,3,2,5,2016
62,VEN,0,2,1,3,2016
63,ALG,0,2,0,2,2016
63,IRL,0,2,0,2,2016
65,LTU,0,1,3,4,2016
66,BUL,0,1,2,3,2016
67,IND,0,1,1,2,2016
67,MGL,0,1,1,2,2016
69,BDI,0,1,0,1,2016
69,GRN,0,1,0,1,2016
69,NER,0,1,0,1,2016
69,PHI,0,1,0,1,2016
69,QAT,0,1,0,1,2016
74,NOR,0,0,4,4,2016
75,EGY,0,0,3,3,2016
75,TUN,0,0,3,3,2016
77,ISR,0,0,2,2,2016
78,AUT,0,0,1,1,2016
78,DOM,0,0,1,1,2016
78,EST,0,0,1,1,2016
78,FIN,0,0,1,1,2016
78,MAR,0,0,1,1,2016
78,NGA,0,0,1,1,2016
78,PRT,0,0,1,1,2016
78,TTO,0,0,1,1,2016
78,UAE,0,0,1,1,2016
1,USA,48,26,30,104,2012
2,CHN,39,31,22,92,2012
3,GBR,29,18,18,65,2012
15,CZE,4,2,1,7,1992
5,KOR,13,9,9,31,2012
6,GER,11,20,13,44,2012
7,FRA,11,11,13,35,2012
8,AUS,8,15,12,35,2012
9,ITA,8,9,11,28,2012
10,HUN,8,4,6,18,2012
11,JPN,7,14,17,38,2012
12,IRI,7,5,1,13,2012
13,NED,6,6,8,20,2012
14,NZL,6,2,5,13,2012
15,UKR,5,4,10,19,2012
16,CUB,5,3,7,15,2012
17,ESP,4,10,6,20,2012
18,JAM,4,5,4,13,2012
19,CZE,4,4,3,11,2012
20,RSA,4,1,1,6,2012
21,NKA,4,0,2,6,2012
22,BRA,3,5,9,17,2012
23,KAZ,3,2,6,11,2012
23,POL,3,2,6,11,2012
25,ETH,3,2,3,8,2012
26,CRO,3,1,2,6,2012
27,CAN,2,6,10,18,2012
28,AIN,2,5,3,10,2012
29,KEN,2,4,7,13,2012
30,DEN,2,4,3,9,2012
31,ROU,2,4,1,7,2012
32,AZE,2,2,5,9,2012
33,CHE,2,2,0,4,2012
34,NOR,2,1,1,4,2012
35,LTU,2,0,3,5,2012
36,TUN,2,0,1,3,2012
37,SWE,1,4,3,8,2012
38,COL,1,3,5,9,2012
39,MEX,1,3,4,8,2012
40,GEO,1,2,3,6,2012
41,IRL,1,1,4,6,2012
42,ARG,1,1,2,4,2012
42,SRB,1,1,2,4,2012
42,SVN,1,1,2,4,2012
42,TTO,1,1,2,4,2012
46,TUR,1,1,1,3,2012
47,DOM,1,1,0,2,2012
48,TPE,1,0,1,2,2012
48,LAT,1,0,1,2,2012
50,ALG,1,0,0,1,2012
50,BAH,1,0,0,1,2012
50,BRN,1,0,0,1,2012
50,GRN,1,0,0,1,2012
50,UGA,1,0,0,1,2012
50,VEN,1,0,0,1,2012
56,EGY,0,3,1,4,2012
57,IND,0,2,4,6,2012
58,MGL,0,2,3,5,2012
59,THA,0,2,2,4,2012
60,BUL,0,2,1,3,2012
60,FIN,0,2,1,3,2012
60,INA,0,2,1,3,2012
63,SVK,0,1,3,4,2012
64,BEL,0,1,2,3,2012
65,ARM,0,1,1,2,2012
65,EST,0,1,1,2,2012
65,MAS,0,1,1,2,2012
65,PPO,0,1,1,2,2012
65,QAT,0,1,1,2,2012
70,BOT,0,1,0,1,2012
70,CYP,0,1,0,1,2012
70,GAB,0,1,0,1,2012
70,GUA,0,1,0,1,2012
70,MNE,0,1,0,1,2012
70,PRT,0,1,0,1,2012
76,UZB,0,0,3,3,2012
77,GRE,0,0,2,2,2012
77,SGP,0,0,2,2,2012
79,AFG,0,0,1,1,2012
79,CMR,0,0,1,1,2012
79,CHK,0,0,1,1,2012
79,KUW,0,0,1,1,2012
79,MAR,0,0,1,1,2012
79,KSA,0,0,1,1,2012
79,TJK,0,0,1,1,2012
15,BUL,1,3,3,7,1960
1,CHN,48,22,30,100,2008
2,USA,36,39,37,112,2008
32,CAN,0,1,0,1,1960
4,GBR,19,13,19,51,2008
5,GER,16,11,14,41,2008
6,AUS,14,15,17,46,2008
7,KOR,13,11,8,32,2008
8,JPN,9,8,8,25,2008
9,ITA,8,9,10,27,2008
10,FRA,7,16,20,43,2008
11,NED,7,5,4,16,2008
12,UKR,7,4,11,22,2008
13,KEN,6,4,6,16,2008
14,ESP,5,11,3,19,2008
15,JAM,5,4,2,11,2008
16,POL,4,5,2,11,2008
17,ETH,4,2,1,7,2008
18,ROU,4,1,4,9,2008
19,CUB,3,10,17,30,2008
20,CAN,3,9,8,20,2008
21,HUN,3,5,2,10,2008
22,NOR,3,5,1,9,2008
23,BRA,3,4,10,17,2008
24,AIN,3,4,7,14,2008
25,CZE,3,3,1,7,2008
26,SVK,3,3,0,6,2008
27,NZL,3,2,4,9,2008
28,GEO,3,2,2,7,2008
29,KAZ,2,3,4,9,2008
30,DEN,2,2,3,7,2008
31,NKA,2,2,2,6,2008
31,THA,2,2,2,6,2008
33,MGL,2,2,0,4,2008
34,CHE,2,1,4,7,2008
35,ARG,2,0,4,6,2008
36,MEX,2,0,2,4,2008
37,BEL,2,0,0,2,2008
38,ZWE,1,3,0,4,2008
39,SVN,1,2,2,5,2008
40,AZE,1,1,4,6,2008
40,INA,1,1,4,6,2008
42,BUL,1,1,3,5,2008
42,TUR,1,1,3,5,2008
44,TPE,1,1,2,4,2008
44,FIN,1,1,2,4,2008
46,LAT,1,1,1,3,2008
47,DOM,1,1,0,2,2008
47,EST,1,1,0,2,2008
47,PRT,1,1,0,2,2008
47,TTO,1,1,0,2,2008
51,IND,1,0,2,3,2008
52,IRI,1,0,1,2,2008
53,CMR,1,0,0,1,2008
53,PAN,1,0,0,1,2008
53,TUN,1,0,0,1,2008
56,SWE,0,4,1,5,2008
57,LTU,0,3,2,5,2008
57,NGA,0,3,2,5,2008
59,CRO,0,2,3,5,2008
60,COL,0,2,1,3,2008
60,GRE,0,2,1,3,2008
62,ARM,0,1,4,5,2008
63,UZB,0,1,3,4,2008
64,AUT,0,1,2,3,2008
64,IRL,0,1,2,3,2008
64,KGZ,0,1,2,3,2008
64,SRB,0,1,2,3,2008
68,ALG,0,1,1,2,2008
68,BAH,0,1,1,2,2008
68,MAR,0,1,1,2,2008
68,TJK,0,1,1,2,2008
72,CHI,0,1,0,1,2008
72,ECU,0,1,0,1,2008
72,ISL,0,1,0,1,2008
72,MAS,0,1,0,1,2008
72,WSM,0,1,0,1,2008
72,SGP,0,1,0,1,2008
72,RSA,0,1,0,1,2008
72,SDN,0,1,0,1,2008
17,CZE,3,3,2,8,1988
81,EGY,0,0,2,2,2008
82,AFG,0,0,1,1,2008
82,ISR,0,0,1,1,2008
82,MUS,0,0,1,1,2008
82,MLA,0,0,1,1,2008
82,TOG,0,0,1,1,2008
82,VEN,0,0,1,1,2008
1,USA,36,39,26,101,2004
2,CHN,32,17,14,63,2004
17,CZE,2,2,4,8,1976
4,AUS,17,16,17,50,2004
5,JPN,16,9,12,37,2004
6,GER,13,16,20,49,2004
7,FRA,11,9,13,33,2004
8,ITA,10,11,11,32,2004
9,KOR,9,12,9,30,2004
10,GBR,9,9,12,30,2004
11,CUB,9,7,11,27,2004
12,HUN,8,6,3,17,2004
13,UKR,8,5,9,22,2004
14,ROU,8,5,6,19,2004
15,GRE,6,6,4,16,2004
16,BRA,5,2,3,10,2004
17,NOR,5,0,1,6,2004
18,NED,4,9,9,22,2004
19,SWE,4,2,1,7,2004
20,ESP,3,11,6,20,2004
21,CAN,3,6,3,12,2004
22,TUR,3,3,4,10,2004
23,POL,3,2,5,10,2004
24,NZL,3,2,0,5,2004
25,THA,3,1,4,8,2004
26,AIN,2,5,6,13,2004
27,AUT,2,4,1,7,2004
28,ETH,2,3,2,7,2004
29,IRI,2,2,2,6,2004
29,SVK,2,2,2,6,2004
31,TPE,2,2,1,5,2004
32,GEO,2,2,0,4,2004
33,BUL,2,1,9,12,2004
34,DEN,2,1,5,8,2004
35,JAM,2,1,2,5,2004
35,UZB,2,1,2,5,2004
37,MAR,2,1,0,3,2004
38,ARG,2,0,4,6,2004
39,CHI,2,0,1,3,2004
40,KAZ,1,4,3,8,2004
41,KEN,1,4,2,7,2004
42,CZE,1,3,5,9,2004
43,RSA,1,3,2,6,2004
44,CRO,1,2,2,5,2004
45,LTU,1,2,0,3,2004
46,EGY,1,1,3,5,2004
46,CHE,1,1,3,5,2004
48,INA,1,1,2,4,2004
49,ZWE,1,1,1,3,2004
50,AZE,1,0,4,5,2004
51,BEL,1,0,2,3,2004
52,BAH,1,0,1,2,2004
52,ISR,1,0,1,2,2004
54,CMR,1,0,0,1,2004
54,DOM,1,0,0,1,2004
54,UAE,1,0,0,1,2004
57,NKA,0,4,1,5,2004
58,LAT,0,4,0,4,2004
59,MEX,0,3,1,4,2004
60,PRT,0,2,1,3,2004
61,FIN,0,2,0,2,2004
18,CZE,2,4,2,8,1972
63,SVN,0,1,3,4,2004
64,EST,0,1,2,3,2004
65,CHK,0,1,0,1,2004
65,IND,0,1,0,1,2004
65,PAR,0,1,0,1,2004
68,COL,0,0,2,2,2004
68,NGA,0,0,2,2,2004
68,VEN,0,0,2,2,2004
71,ERI,0,0,1,1,2004
71,MGL,0,0,1,1,2004
7,CZE,7,2,4,13,1968
71,TTO,0,0,1,1,2004
1,USA,37,24,32,93,2000
9,CZE,5,6,3,14,1964
3,CHN,28,16,14,58,2000
4,AUS,16,25,17,58,2000
5,GER,13,17,26,56,2000
6,FRA,13,14,11,38,2000
7,ITA,13,8,13,34,2000
8,NED,12,9,4,25,2000
9,CUB,11,11,7,29,2000
10,GBR,11,10,7,28,2000
11,ROU,11,6,9,26,2000
12,KOR,8,10,10,28,2000
13,HUN,8,6,3,17,2000
14,POL,6,5,3,14,2000
15,JPN,5,8,5,18,2000
16,BUL,5,6,2,13,2000
17,GRE,4,6,3,13,2000
18,SWE,4,5,3,12,2000
19,NOR,4,3,3,10,2000
20,ETH,4,1,3,8,2000
21,UKR,3,10,10,23,2000
22,KAZ,3,4,0,7,2000
23,AIN,3,3,11,17,2000
24,CAN,3,3,8,14,2000
25,ESP,3,3,5,11,2000
26,TUR,3,0,2,5,2000
27,IRI,3,0,1,4,2000
28,CZE,2,3,3,8,2000
29,KEN,2,3,2,7,2000
30,DEN,2,3,1,6,2000
31,FIN,2,1,1,4,2000
32,AUT,2,1,0,3,2000
33,LTU,2,0,3,5,2000
34,AZE,2,0,1,3,2000
34,BAH,2,0,1,3,2000
36,SVN,2,0,0,2,2000
37,CHE,1,6,2,9,2000
38,INA,1,3,2,6,2000
39,SVK,1,3,1,5,2000
40,MEX,1,2,3,6,2000
41,NGA,1,2,0,3,2000
42,ALG,1,1,3,5,2000
43,UZB,1,1,2,4,2000
10,CZE,3,2,3,8,1960
44,LAT,1,1,1,3,2000
46,NZL,1,0,3,4,2000
47,EST,1,0,2,3,2000
47,THA,1,0,2,3,2000
49,CRO,1,0,1,2,2000
50,CMR,1,0,0,1,2000
50,COL,1,0,0,1,2000
50,MOZ,1,0,0,1,2000
53,BRA,0,6,6,12,2000
54,JAM,0,6,3,9,2000
55,BEL,0,2,3,5,2000
55,RSA,0,2,3,5,2000
57,ARG,0,2,2,4,2000
58,TPE,0,1,4,5,2000
58,MAR,0,1,4,5,2000
60,NKA,0,1,3,4,2000
61,MLA,0,1,1,2,2000
61,KSA,0,1,1,2,2000
61,TTO,0,1,1,2,2000
64,IRL,0,1,0,1,2000
64,LKA,0,1,0,1,2000
64,URY,0,1,0,1,2000
18,CZE,1,4,1,6,1956
68,GEO,0,0,6,6,2000
69,CRC,0,0,2,2,2000
69,PRT,0,0,2,2,2000
71,ARM,0,0,1,1,2000
71,BAR,0,0,1,1,2000
71,CHI,0,0,1,1,2000
71,ISL,0,0,1,1,2000
71,IND,0,0,1,1,2000
71,ISR,0,0,1,1,2000
71,KUW,0,0,1,1,2000
71,KGZ,0,0,1,1,2000
6,CZE,7,3,3,13,1952
71,QAT,0,0,1,1,2000
1,USA,44,32,25,101,1996
2,GMR,37,35,30,102,1988
3,GER,20,18,27,65,1996
4,CHN,16,22,12,50,1996
5,FRA,15,7,15,37,1996
6,ITA,13,10,12,35,1996
7,AUS,9,9,23,41,1996
8,CUB,9,8,8,25,1996
9,UKR,9,2,12,23,1996
10,KOR,7,15,5,27,1996
11,POL,7,5,5,17,1996
12,HUN,7,4,10,21,1996
13,ESP,5,6,6,17,1996
14,ROU,4,7,9,20,1996
15,NED,4,5,10,19,1996
16,GRE,4,4,0,8,1996
17,CZE,4,3,4,11,1996
18,CHE,4,3,0,7,1996
19,DEN,4,1,1,6,1996
19,TUR,4,1,1,6,1996
21,CAN,3,11,8,22,1996
22,BUL,3,7,5,15,1996
23,JPN,3,6,5,14,1996
24,KAZ,3,4,4,11,1996
25,BRA,3,3,9,15,1996
26,NZL,3,2,1,6,1996
27,RSA,3,1,1,5,1996
28,IRL,3,0,1,4,1996
29,SWE,2,4,2,8,1996
30,NOR,2,2,3,7,1996
31,BEL,2,2,2,6,1996
32,NGA,2,1,3,6,1996
33,NKA,2,1,2,5,1996
34,ALG,2,0,1,3,1996
34,ETH,2,0,1,3,1996
36,GBR,1,8,6,15,1996
37,AIN,1,6,8,15,1996
38,KEN,1,4,3,8,1996
39,JAM,1,3,2,6,1996
40,FIN,1,2,1,4,1996
2,GMR,40,25,25,90,1976
41,INA,1,1,2,4,1996
43,IRI,1,1,1,3,1996
43,SVK,1,1,1,3,1996
45,ARM,1,1,0,2,1996
45,CRO,1,1,0,2,1996
47,PRT,1,0,1,2,1996
47,THA,1,0,1,2,1996
49,BDI,1,0,0,1,1996
49,CRC,1,0,0,1,1996
49,ECU,1,0,0,1,1996
49,CHK,1,0,0,1,1996
3,GMR,20,23,23,66,1972
54,ARG,0,2,1,3,1996
55,NAM,0,2,0,2,1996
55,SVN,0,2,0,2,1996
57,AUT,0,1,2,3,1996
58,MAS,0,1,1,2,1996
58,MLA,0,1,1,2,1996
58,UZB,0,1,1,2,1996
61,AZE,0,1,0,1,1996
61,BAH,0,1,0,1,1996
61,TPE,0,1,0,1,1996
61,LAT,0,1,0,1,1996
61,PHI,0,1,0,1,1996
61,TON,0,1,0,1,1996
61,ZMB,0,1,0,1,1996
68,GEO,0,0,2,2,1996
68,MAR,0,0,2,2,1996
68,TTO,0,0,2,2,1996
71,IND,0,0,1,1,1996
71,ISR,0,0,1,1,1996
71,LTU,0,0,1,1,1996
71,MEX,0,0,1,1,1996
71,MGL,0,0,1,1,1996
71,MOZ,0,0,1,1,1996
71,PPO,0,0,1,1,1996
71,TUN,0,0,1,1,1996
71,UGA,0,0,1,1,1996
13,DEN,2,3,1,6,1960
2,USA,37,34,37,108,1992
3,GER,33,21,28,82,1992
4,CHN,16,22,16,54,1992
5,CUB,14,6,11,31,1992
6,ESP,13,7,2,22,1992
7,KOR,12,5,12,29,1992
8,HUN,11,12,7,30,1992
9,FRA,8,5,16,29,1992
10,AUS,7,9,11,27,1992
11,CAN,7,4,7,18,1992
12,ITA,6,5,8,19,1992
13,GBR,5,3,12,20,1992
14,ROU,4,6,8,18,1992
5,GMR,9,9,7,25,1968
16,NKA,4,0,5,9,1992
17,JPN,3,8,11,22,1992
18,BUL,3,7,6,16,1992
19,POL,3,6,10,19,1992
20,NED,2,6,7,15,1992
21,KEN,2,4,2,8,1992
22,NOR,2,4,1,7,1992
23,TUR,2,2,2,6,1992
24,INA,2,2,1,5,1992
25,BRA,2,1,0,3,1992
26,GRE,2,0,0,2,1992
27,SWE,1,7,4,12,1992
28,NZL,1,4,5,10,1992
29,FIN,1,2,2,5,1992
30,DEN,1,1,4,6,1992
31,MAR,1,1,1,3,1992
32,IRL,1,1,0,2,1992
33,ETH,1,0,2,3,1992
34,ALG,1,0,1,2,1992
34,EST,1,0,1,2,1992
34,LTU,1,0,1,2,1992
37,CHE,1,0,0,1,1992
38,JAM,0,3,1,4,1992
38,NGA,0,3,1,4,1992
40,LAT,0,2,1,3,1992
41,AUT,0,2,0,2,1992
41,NAM,0,2,0,2,1992
41,RSA,0,2,0,2,1992
44,BEL,0,1,2,3,1992
44,CRO,0,1,2,3,1992
32,FOR,0,1,0,1,1960
44,IRI,0,1,2,3,1992
48,ISR,0,1,1,2,1992
49,TPE,0,1,0,1,1992
49,MEX,0,1,0,1,1992
49,PER,0,1,0,1,1992
52,MGL,0,0,2,2,1992
52,SVN,0,0,2,2,1992
54,ARG,0,0,1,1,1992
54,BAH,0,0,1,1,1992
54,COL,0,0,1,1,1992
54,GHA,0,0,1,1,1992
54,MAS,0,0,1,1,1992
54,PAK,0,0,1,1,1992
54,PHI,0,0,1,1,1992
54,PPO,0,0,1,1,1992
54,QAT,0,0,1,1,1992
54,SUR,0,0,1,1,1992
54,THA,0,0,1,1,1992
44,FRY,1,1,1,3,2000
41,FRY,1,1,2,4,1996
3,USA,36,31,27,94,1988
4,KOR,12,10,11,33,1988
51,IAO,1,0,1,2,2016
6,HUN,11,6,6,23,1988
7,BUL,10,12,13,35,1988
8,ROU,7,11,6,24,1988
9,FRA,6,4,6,16,1988
10,ITA,6,4,4,14,1988
11,CHN,5,11,12,28,1988
12,GBR,5,10,9,24,1988
13,KEN,5,2,2,9,1988
14,JPN,4,3,7,14,1988
15,AUS,3,6,5,14,1988
44,IOP,0,1,2,3,1992
12,GBR,2,6,12,20,1960
18,NZL,3,2,8,13,1988
19,CAN,3,2,5,10,1988
20,POL,2,5,9,16,1988
21,NOR,2,3,0,5,1988
22,NED,2,2,5,9,1988
23,DEN,2,1,1,4,1988
24,BRA,1,2,3,6,1988
25,FIN,1,1,2,4,1988
25,ESP,1,1,2,4,1988
27,TUR,1,1,0,2,1988
28,MAR,1,0,2,3,1988
29,AUT,1,0,0,1,1988
29,PRT,1,0,0,1,1988
29,SUR,1,0,0,1,1988
32,SWE,0,4,7,11,1988
33,CHE,0,2,2,4,1988
34,JAM,0,2,0,2,1988
35,ARG,0,1,1,2,1988
36,CHI,0,1,0,1,1988
36,CRC,0,1,0,1,1988
36,INA,0,1,0,1,1988
36,IRI,0,1,0,1,1988
21,GRE,1,0,0,1,1960
36,PER,0,1,0,1,1988
36,SEN,0,1,0,1,1988
7,HUN,6,8,7,21,1960
44,BEL,0,0,2,2,1988
44,MEX,0,0,2,2,1988
46,COL,0,0,1,1,1988
46,DJI,0,0,1,1,1988
46,GRE,0,0,1,1,1988
46,MGL,0,0,1,1,1988
46,PAK,0,0,1,1,1988
46,PHI,0,0,1,1,1988
46,THA,0,0,1,1,1988
71,MAC,0,0,1,1,2000
36,NLA,0,1,0,1,1988
3,USA,34,35,25,94,1976
32,IND,0,1,0,1,1960
5,JPN,9,6,10,25,1976
6,POL,7,6,13,26,1976
7,BUL,6,9,7,22,1976
8,CUB,6,4,3,13,1976
9,ROU,4,9,14,27,1976
10,HUN,4,5,13,22,1976
11,FIN,4,2,0,6,1976
12,SWE,4,1,0,5,1976
13,GBR,3,5,5,13,1976
14,ITA,2,7,4,13,1976
15,FRA,2,3,4,9,1976
27,IRI,0,1,3,4,1960
41,IRQ,0,0,1,1,1960
18,NZL,2,1,1,4,1976
19,KOR,1,1,4,6,1976
20,CHE,1,1,2,4,1976
21,JAM,1,1,0,2,1976
21,NKA,1,1,0,2,1976
21,NOR,1,1,0,2,1976
24,DEN,1,0,2,3,1976
25,MEX,1,0,1,2,1976
26,TTO,1,0,0,1,1976
27,CAN,0,5,6,11,1976
28,BEL,0,3,3,6,1976
29,NED,0,2,3,5,1976
30,PRT,0,2,0,2,1976
30,ESP,0,2,0,2,1976
32,AUS,0,1,4,5,1976
